city,date,price
Stockton,2019-09,305800
Stockton,2019-10,309100
Stockton,2019-11,312000
Modesto,2014-01,183200
Modesto,2014-02,184500
Modesto,2014-03,182300
Modesto,2014-04,184800
Modesto,2014-05,183900
Modesto,2014-06,193000
Modesto,2014-07,196300
Modesto,2014-08,200900
Modesto,2014-09,196900
Modesto,2014-10,197900
Modesto,2014-11,197600
Modesto,2014-12,198300
Modesto,2015-01,202500
Modesto,2015-02,204000
Modesto,2015-03,208900
Modesto,2015-04,212900
Modesto,2015-05,224200
Modesto,2015-06,226300
Modesto,2015-07,225700
Modesto,2015-08,218100
Modesto,2015-09,220700
Modesto,2015-10,221500
Modesto,2015-11,219400
Modesto,2015-12,218800
Modesto,2016-01,217300
Modesto,2016-02,226500
Modesto,2016-03,229700
Modesto,2016-04,235800
Modesto,2016-05,234500
Modesto,2016-06,237400
Modesto,2016-07,237800
Modesto,2016-08,242500
Modesto,2016-09,244700
Modesto,2016-10,249600
Modesto,2016-11,251500
Modesto,2016-12,252500
Modesto,2017-01,253600
Modesto,2017-02,254400
Modesto,2017-03,254000
Modesto,2017-04,254300
Modesto,2017-05,257700
Modesto,2017-06,257200
Modesto,2017-07,257400
Modesto,2017-08,257000
Modesto,2017-09,260200
Modesto,2017-10,264100
Modesto,2017-11,267500
Modesto,2017-12,272500
Modesto,2018-01,277900
Modesto,2018-02,282400
Modesto,2018-03,284800
Modesto,2018-04,283800
Modesto,2018-05,282700
Modesto,2018-06,282900
Modesto,2018-07,284400
Modesto,2018-08,284700
Modesto,2018-09,287300
Modesto,2018-10,284100
Modesto,2018-11,284200
Modesto,2018-12,281800
Modesto,2019-01,284700
Modesto,2019-02,288400
Modesto,2019-03,289900
Modesto,2019-04,293600
Modesto,2019-05,292400
Modesto,2019-06,295700
Modesto,2019-07,295400
Modesto,2019-08,295800
Modesto,2019-09,299300
Modesto,2019-10,299600
Modesto,2019-11,303200
Modesto,2019-12,302800
San Bernardino,2014-01,169000
San Bernardino,2014-02,174600
San Bernardino,2014-03,171000
San Bernardino,2014-04,174300
San Bernardino,2014-05,177400
San Bernardino,2014-06,183200
San Bernardino,2014-07,186600
San Bernardino,2014-08,190900
San Bernardino,2014-09,190000
San Bernardino,2014-10,186300
San Bernardino,2014-11,185900
San Bernardino,2014-12,187200
San Bernardino,2015-01,192200
