framework,date,downloads
backbone,2018-11-20,267195
backbone,2018-11-27,227270
backbone,2018-12-04,287771
backbone,2018-12-11,323231
backbone,2018-12-18,284871
backbone,2018-12-25,227928
backbone,2019-01-01,101702
backbone,2019-01-08,201545
backbone,2019-01-15,285596
backbone,2019-01-22,286446
backbone,2019-01-29,288591
backbone,2019-02-05,290069
backbone,2019-02-12,292835
backbone,2019-02-19,284250
backbone,2019-02-26,356791
backbone,2019-03-05,356925
backbone,2019-03-12,371689
backbone,2019-03-19,356255
backbone,2019-03-26,350863
backbone,2019-04-02,363676
backbone,2019-04-09,372148
backbone,2019-04-16,365916
backbone,2019-04-23,314667
backbone,2019-04-30,349184
backbone,2019-05-07,317726
backbone,2019-05-14,391640
backbone,2019-05-21,374319
backbone,2019-05-28,360552
backbone,2019-06-04,372866
backbone,2019-06-11,371159
backbone,2019-06-18,375706
backbone,2019-06-25,373599
backbone,2019-07-02,376142
backbone,2019-07-09,362413
backbone,2019-07-16,418431
backbone,2019-07-23,406692
backbone,2019-07-30,442428
backbone,2019-08-06,442836
backbone,2019-08-13,420826
backbone,2019-08-20,427397
backbone,2019-08-27,410430
backbone,2019-09-03,394007
backbone,2019-09-10,412064
backbone,2019-09-17,416771
backbone,2019-09-24,420502
backbone,2019-10-01,421890
backbone,2019-10-08,435598
backbone,2019-10-15,434152
backbone,2019-10-22,453079
backbone,2019-10-29,491162
backbone,2019-11-05,458898
backbone,2019-11-12,515664
backbone,2019-11-19,491221
backbone,2019-11-26,532828
backbone,2019-12-03,409593
backbone,2019-12-10,483544
backbone,2019-12-17,474798
backbone,2019-12-24,428413
backbone,2019-12-31,189824
backbone,2020-01-07,255235
ionic,2016-01-12,42054
ionic,2016-01-19,23125
ionic,2016-01-26,79483
ionic,2016-02-02,60057
ionic,2016-02-09,34464
ionic,2016-02-16,37179
ionic,2016-02-23,42865
ionic,2016-03-01,45219
ionic,2016-03-08,51176
ionic,2016-03-15,35082
ionic,2016-03-22,34772
ionic,2016-03-29,34835
ionic,2016-04-05,50444
ionic,2016-04-12,28699
ionic,2016-04-19,36420
ionic,2016-04-26,29891
ionic,2016-05-03,35163
ionic,2016-05-10,27535
ionic,2016-05-17,30001
ionic,2016-05-24,51873
ionic,2016-05-31,40158
ionic,2016-06-07,85712
ionic,2016-06-14,32188
ionic,2016-06-21,53841
ionic,2016-06-28,53893
ionic,2016-07-05,35447
ionic,2016-07-12,79422
ionic,2016-07-19,31600
ionic,2016-07-26,44044
ionic,2016-08-02,42240
ionic,2016-08-09,38944
ionic,2016-08-16,47809
ionic,2016-08-23,50566
ionic,2016-08-30,119200
ionic,2016-09-06,32953
ionic,2016-09-13,35596
ionic,2016-09-20,41603
ionic,2016-09-27,36986
ionic,2016-10-04,50357
ionic,2016-10-11,43923
ionic,2016-10-18,42749
ionic,2016-10-25,53716
ionic,2016-11-01,41101
ionic,2016-11-08,38140
ionic,2016-11-15,51917
ionic,2016-11-22,50511
ionic,2016-11-29,42010
ionic,2016-12-06,40102
ionic,2016-12-13,43507
ionic,2016-12-20,46711
ionic,2016-12-27,45583
ionic,2017-01-03,27083
ionic,2017-01-10,38793
ionic,2017-01-17,49148
ionic,2017-01-24,38954
ionic,2017-01-31,42178
ionic,2017-02-07,108178
ionic,2017-02-14,134215
ionic,2017-02-21,57195
ionic,2017-02-28,62172
ionic,2017-03-07,49968
ionic,2017-03-14,42943
ionic,2017-03-21,39229
ionic,2017-03-28,54764
ionic,2017-04-04,50704
ionic,2017-04-11,43744
ionic,2017-04-18,75073
ionic,2017-04-25,206938
ionic,2017-05-02,521602
ionic,2017-05-09,372040
ionic,2017-05-16,379240
ionic,2017-05-23,208033
ionic,2017-05-30,142600
ionic,2017-06-06,147982
ionic,2017-06-13,130702
ionic,2017-06-20,87478
ionic,2017-06-27,46551
ionic,2017-07-04,37440
ionic,2017-07-11,55659
ionic,2017-07-18,160882
ionic,2017-07-25,297307
ionic,2017-08-01,194180
ionic,2017-08-08,184037
ionic,2017-08-15,270508
ionic,2017-08-22,284292
ionic,2017-08-29,55689
ionic,2017-09-05,108106
ionic,2017-09-12,176805
ionic,2017-09-19,211601
ionic,2017-09-26,193879
ionic,2017-10-03,101470
ionic,2017-10-10,64669
ionic,2017-10-17,135420
ionic,2017-10-24,173708
ionic,2017-10-31,210067
ionic,2017-11-07,149761
ionic,2017-11-14,189642
ionic,2017-11-21,112987
ionic,2017-11-28,120684
ionic,2017-12-05,112063
ionic,2017-12-12,68556
ionic,2017-12-19,45627
ionic,2017-12-26,95300
ionic,2018-01-02,62860
ionic,2018-01-09,94050
ionic,2018-01-16,53682
ionic,2018-01-23,134482
ionic,2018-01-30,135705
ionic,2018-02-06,89075
ionic,2018-02-13,125422
ionic,2018-02-20,71538
ionic,2018-02-27,91334
ionic,2018-03-06,89417
ionic,2018-03-13,167489
ionic,2018-03-20,267579
ionic,2018-03-27,157254
ionic,2018-04-03,60524
ionic,2018-04-10,107288
ionic,2018-04-17,45128
ionic,2018-04-24,59986
ionic,2018-05-01,62724
ionic,2018-05-08,40876
ionic,2018-05-15,60697
ionic,2018-05-22,42484
ionic,2018-05-29,32003
ionic,2018-06-05,39373
ionic,2018-06-12,43081
ionic,2018-06-19,81303
ionic,2018-06-26,38322
ionic,2018-07-03,36445
ionic,2018-07-10,51495
ionic,2018-07-17,55584
ionic,2018-07-24,39263
ionic,2018-07-31,155048
ionic,2018-08-07,124184
ionic,2018-08-14,105508
ionic,2018-08-21,81698
